36,5.1,3.5,1.4,0.2,True
35,4.9,3.0,1.4,0.2,True
34,5.0,3.4,1.5,0.2,True
33,5.4,3.7,1.5,0.2,True
32,5.1,3.5,1.4,0.3,True
31,5.4,3.4,1.7,0.2,True
30,4.8,3.4,1.9,0.2,True
29,5.2,3.4,1.4,0.2,True
28,4.9,3.1,1.5,0.1,True
27,4.4,3.0,1.3,0.2,True
26,5.0,3.5,1.3,0.3,True
25,5.0,3.5,1.6,0.6,True
24,4.8,3.0,1.4,0.3,True
23,6.9,3.1,4.9,1.5,False
22,5.5,2.3,4.0,1.3,False
21,5.0,2.0,3.5,1.0,False
20,6.0,2.2,4.0,1.0,False
19,6.1,2.9,4.7,1.4,False
18,6.1,2.8,4.7,1.2,False
17,6.6,3.0,4.4,1.4,False
16,6.0,2.9,4.5,1.5,False
15,5.6,3.0,4.1,1.3,False
14,5.5,2.6,4.4,1.2,False
13,6.1,3.0,4.6,1.4,False
12,5.7,3.0,4.2,1.2,False
11,6.2,2.9,4.3,1.3,False
10,7.1,3.0,5.9,2.1,False
9,6.3,2.9,5.6,1.8,False
8,7.6,3.0,6.6,2.1,False
7,6.8,3.0,5.5,2.1,False
6,5.8,2.8,5.1,2.4,False
5,6.5,3.0,5.5,1.8,False
4,6.0,2.2,5.0,1.5,False
3,6.3,3.4,5.6,2.4,False
2,6.0,3.0,4.8,1.8,False
1,5.8,2.7,5.1,1.9,False
0,6.5,3.0,5.2,2.0,False
